# bench v8 — plain + aot-cached × 15 precise backend (libgc plain only)
# columns suffix: _p = plain, _a = aot-cached

## elapsed (seconds, median of 3)
bench        cat  libgc   m_G_inc_pm_G_inc_acopy_p  copy_a  
fib35        INT          1.44    1.05    1.13    0.76    
sumloop      INT          2.46    1.01    2.09    NOAOT   
nbody        INT          0.69    0.57    0.55    0.43    
sieve_big    GC           1.90    1.01    1.41    0.58    
deriv        GC           1.44    1.36    1.21    1.10    
nqueens      MIX          3.47    1.71    2.81    1.29    
fannkuch     MIX          1.92    1.55    1.37    1.01    
cps_loop     MIX          1.35    0.53    1.12    0.32    
matmul       MIX          6.09    5.84    6.42    6.25    

## peak RSS (MiB, max of 3 /usr/bin/time -M)
bench        cat  libgc   m_G_inc_pm_G_inc_acopy_p  copy_a  
fib35        INT          23.8    24.0    35.6    35.8    
sumloop      INT          3.6     3.9     3.8     NOAOT   
nbody        INT          26.5    26.6    35.9    36.0    
sieve_big    GC           102.0   102.1   201.5   201.6   
deriv        GC           29.9    29.9    35.5    35.9    
nqueens      MIX          27.9    28.1    35.9    35.9    
fannkuch     MIX          28.2    28.2    35.9    35.9    
cps_loop     MIX          3.6     3.8     3.6     3.8     
matmul       MIX          33.0    33.1    29.0    29.0    
