bench,backend,elapsed,rss_kb,gc_count,minor,major,gc_seconds,mark_seconds,reclaim_seconds,gc_pct,max_pause_ms,alloc_bytes,result
fib,mark,7.373136,2304,0,0,0,0.0000,0.0000,0.0000,0.0,0.00,0,165580141
fib,mark_gen,7.186563,2432,0,0,0,0.0000,0.0000,0.0000,0.0,0.00,0,165580141
fib_pair,mark,0.968179,24320,38,0,0,0.0847,0.0001,0.0844,8.7,2.56,641757168,14948063
fib_pair,mark_gen,1.057813,29824,38,38,0,0.1263,0.0001,0.1260,11.9,3.70,641757168,14948063
fannkuch,mark,0.789083,31616,5,0,0,0.0099,0.0000,0.0099,1.3,2.36,87736864,30
fannkuch,mark_gen,0.775046,33664,5,5,0,0.0219,0.0000,0.0219,2.8,4.45,87736864,30
ackermann,mark,7.62045,8064,0,0,0,0.0000,0.0000,0.0000,0.0,0.00,0,16381
ackermann,mark_gen,7.533707,8448,0,0,0,0.0000,0.0000,0.0000,0.0,0.00,0,16381
binary_trees,mark,0.743574,264960,3,0,0,0.1374,0.1084,0.0290,18.5,97.40,201326544,4194303
binary_trees,mark_gen,1.296762,276096,44,42,2,0.6368,0.4824,0.1542,49.1,81.56,201326544,4194303
gc_combined,mark,0.897492,27520,38,0,0,0.0927,0.0018,0.0907,10.3,2.56,640528440,50004990000000
hash_chain,mark,1.211839,20864,0,0,0,0.0000,0.0000,0.0000,0.0,0.00,11496760,33750075000
list_alloc,mark,0.814911,26880,38,0,0,0.0726,0.0001,0.0724,8.9,3.48,640000000,100000020000000
json_parse,mark,0.983522,24448,44,0,0,0.0970,0.0001,0.0967,9.9,2.32,742400226,11300000
chain_add,mark,1.355549,2304,0,0,0,0.0000,0.0000,0.0000,0.0,0.00,0,100000000
