==== bench-matrix run 2026-05-03T03:50:10+00:00 RUNS=3 FRAMES=240 ====
rule: no -flto in a_flags; LDFLAGS=-fno-lto for all.so
P2C_gcc-13_baseline                                size=3391552 best=101.31388917463495 median=101.0818748261978 mean=101.064 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ 
P2C_gcc-13_funrollloops                            size=3989568 best=100.56783391513464 median=100.0338180903916 mean=100.012 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -funroll-loops
P2C_gcc-13_fpeelloops                              size=3387456 best=98.94262652354952 median=98.89649315200468 mean=98.663 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -fpeel-loops
P2C_gcc-13_funrollallloops                         size=3997760 best=98.71008402911507 median=98.02931344531534 mean=98.110 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -funroll-all-loops
P2C_gcc-13_fipapta                                 size=3391552 best=99.73472670305125 median=98.95457244086344 mean=98.574 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -fipa-pta
P2C_gcc-13_fipacpclone                             size=3391552 best=99.86280959892548 median=98.11472662775067 mean=98.378 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -fipa-cp-clone
P2C_gcc-13_fipaptafipacpclone                      size=3391552 best=100.84233036379965 median=99.39873372596192 mean=99.427 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -fipa-pta\ -fipa-cp-clone
P2C_gcc-13_funrollloopsfipapta                     size=3989568 best=98.76191407680626 median=98.47418088405989 mean=97.847 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fipa-pta
P2C_gcc-13_funrollloopsfipacpclone                 size=3989568 best=98.7868893310036 median=97.49983132627752 mean=97.918 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fipa-cp-clone
P2C_gcc-13_funrollloopsfipaptafipacp               size=3989568 best=98.46366703840349 median=97.59611761833979 mean=97.329 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fipa-pta\ -fipa-cp-clone
P2C_gcc-13_fnostackprotector                       size=3391552 best=100.13351246760608 median=99.46993466519581 mean=99.565 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O3 a=-O2\ -march=native\ -fno-stack-protector
